workers,run,solver,time_p2x,time_p3x,time_p4x
4,1,Solver1,512.019,432.542,212.866
4,1,Solver2,524.817,366.176,228.954
4,1,Solver3,591.613,495.100,334.683
4,1,Solver4,1428.306,1017.964,594.482
4,1,Solver5,1196.487,819.731,613.029

4,2,Solver1,604.331,345.605,276.323
4,2,Solver2,612.831,477.895,221.707
4,2,Solver3,838.359,461.532,324.294
4,2,Solver4,1136.872,918.263,686.063
4,2,Solver5,1098.979,897.584,667.697

4,3,Solver1,648.766,464.236,286.374
4,3,Solver2,756.732,411.034,255.847
4,3,Solver3,719.769,475.104,309.963
4,3,Solver4,1404.452,915.211,599.274
4,3,Solver5,1472.426,1036.681,915.611

3,1,Solver1,627.681,404.271,312.767
3,1,Solver2,644.464,401.391,312.278
3,1,Solver3,710.446,485.335,386.892
3,1,Solver4,1462.951,1005.089,786.719
3,1,Solver5,1480.794,1142.942,998.697

3,2,Solver1,660.425,406.234,313.040
3,2,Solver2,640.733,397.711,316.298
3,2,Solver3,769.448,471.411,431.574
3,2,Solver4,1405.497,1095.185,860.924
3,2,Solver5,1464.057,930.420,832.524

3,3,Solver1,630.873,401.286,326.601
3,3,Solver2,662.797,414.409,293.691
3,3,Solver3,717.066,477.811,367.744
3,3,Solver4,1660.056,989.660,837.235
3,3,Solver5,1470.000,1035.000,915.000

2,1,Solver1,616.102,610.097,360.138
2,1,Solver2,650.556,608.955,364.605
2,1,Solver3,773.273,698.087,431.499
2,1,Solver4,1630.525,1356.000,1128.072
2,1,Solver5,1682.669,1549.749,1071.583

2,2,Solver1,599.798,561.989,357.074
2,2,Solver2,608.955,583.493,376.289
2,2,Solver3,727.440,626.939,435.856
2,2,Solver4,1660.000,1293.454,1029.571
2,2,Solver5,1490.000,1525.000,1106.446

2,3,Solver1,512.385,486.765,303.011
2,3,Solver2,519.167,473.375,307.753
2,3,Solver3,593.284,630.386,401.657
2,3,Solver4,1650.000,1290.000,1027.716
2,3,Solver5,1302.948,1504.839,971.955
