workers,run,solver,time_p2x,time_p3x,time_p4x
4,1,Solver1,643.359,399.904,258.679
4,1,Solver2,648.159,412.675,251.331
4,1,Solver3,772.959,490.194,297.334
4,1,Solver4,1654.982,990.212,656.423
4,1,Solver5,1382.509,964.428,735.845

4,2,Solver1,593.063,388.761,253.977
4,2,Solver2,642.005,400.226,259.724
4,2,Solver3,721.697,480.695,312.650
4,2,Solver4,1350.165,975.222,715.896
4,2,Solver5,1491.599,907.765,690.098

4,3,Solver1,635.476,409.332,245.426
4,3,Solver2,625.571,410.372,246.910
4,3,Solver3,728.128,460.590,307.278
4,3,Solver4,1281.160,1031.443,642.906
4,3,Solver5,1467.978,901.496,698.193

3,1,Solver1,595.396,405.498,351.549
3,1,Solver2,652.632,408.632,387.655
3,1,Solver3,747.714,490.857,363.010
3,1,Solver4,1445.753,1189.846,959.464
3,1,Solver5,1541.443,1027.536,880.747

3,2,Solver1,619.039,405.068,268.723
3,2,Solver2,643.512,401.392,323.928
3,2,Solver3,731.781,450.304,369.202
3,2,Solver4,1438.038,1036.468,913.864
3,2,Solver5,1541.443,1027.536,880.747

3,3,Solver1,592.157,396.693,302.673
3,3,Solver2,667.180,411.152,351.463
3,3,Solver3,690.496,484.358,403.808
3,3,Solver4,1613.730,1014.307,841.612
3,3,Solver5,1418.494,1192.263,754.268

2,1,Solver1,595.683,635.539,385.605
2,1,Solver2,634.191,638.212,396.782
2,1,Solver3,718.781,723.669,498.919
2,1,Solver4,2012.804,1765.914,1262.292
2,1,Solver5,1967.622,1688.214,1206.871

2,2,Solver1,631.287,583.020,426.237
2,2,Solver2,633.556,618.549,465.571
2,2,Solver3,728.796,676.397,494.708
2,2,Solver4,2054.012,1808.206,1312.586
2,2,Solver5,1876.316,1642.886,1247.472

2,3,Solver1,596.335,617.553,395.891
2,3,Solver2,639.612,733.489,411.225
2,3,Solver3,723.247,673.025,478.401
2,3,Solver4,1987.436,1749.175,1233.452
2,3,Solver5,1785.010,1595.639,1195.789
