solver,partition_multiplier,workers,speedup
Solver1,2x,3,0.9
Solver1,2x,4,0.9795918367346939
Solver1,3x,3,1.368811881188119
Solver1,3x,4,1.3357487922705313
Solver1,4x,3,1.069182389937107
Solver1,4x,4,1.3127413127413128
Solver2,2x,3,0.9137134052388289
Solver2,2x,4,0.9382911392405063
Solver2,3x,3,1.3703703703703705
Solver2,3x,4,1.3277511961722488
Solver2,4x,3,1.1400651465798046
Solver2,4x,4,1.4830508474576272
Solver3,2x,3,0.953551912568306
Solver3,2x,4,0.9735006973500697
Solver3,3x,3,1.3640167364016735
Solver3,3x,4,1.3668763102725368
Solver3,4x,3,1.070886075949367
Solver3,4x,4,1.3095975232198143
Solver4,2x,3,1.090728476821192
Solver4,2x,4,1.2448979591836735
Solver4,3x,3,1.274757281553398
Solver4,3x,4,1.3806519453207151
Solver4,4x,3,1.2826086956521738
Solver4,4x,4,1.69377990430622
Solver5,2x,3,1.013586956521739
Solver5,2x,4,1.1878980891719746
Solver5,3x,3,1.473938223938224
Solver5,3x,4,1.6633986928104576
Solver5,4x,3,1.1475409836065573
Solver5,4x,4,1.4344262295081966
