solver,partition_multiplier,workers,efficiency
Solver1,2x,3,0.6004182432428911
Solver1,2x,4,0.48956697463509474
Solver1,3x,3,0.9126166695962148
Solver1,3x,4,0.6676085393956613
Solver1,4x,3,0.7141358185427533
Solver1,4x,4,0.6577305776577789
Solver2,2x,3,0.6087212452057519
Solver2,2x,4,0.46946177641233544
Solver2,3x,3,0.9151533580385071
Solver2,3x,4,0.6636189800853316
Solver2,4x,3,0.7580212671601606
Solver2,4x,4,0.7421338470335792
Solver3,2x,3,0.6354225839341636
Solver3,2x,4,0.4870347172054681
Solver3,3x,3,0.9087181617739831
Solver3,3x,4,0.6828814809434142
Solver3,4x,3,0.71320255266774
Solver3,4x,4,0.6548455012694283
Solver4,2x,3,0.7273226066121025
Solver4,2x,4,0.6222903645931736
Solver4,3x,3,0.8499542924433553
Solver4,3x,4,0.6907837378894438
Solver4,4x,3,0.8545983612340994
Solver4,4x,4,0.8472515173003358
Solver5,2x,3,0.6758426652828525
Solver5,2x,4,0.5939152449167865
Solver5,3x,3,0.9822082069806112
Solver5,3x,4,0.8314441996284669
Solver5,4x,3,0.7646832987342728
Solver5,4x,4,0.7170994250882264
