solver,partition_multiplier,workers,workload_scale,efficiency
Solver1,2x,2,1.0,1.0
Solver1,2x,4,2.0,0.41241720953150335
Solver1,3x,2,1.0,1.0
Solver1,3x,4,2.0,0.629262854294098
Solver1,4x,2,1.0,1.0
Solver1,4x,4,2.0,0.5187322325970076
Solver2,2x,2,1.0,1.0
Solver2,2x,4,2.0,0.42549672438937564
Solver2,3x,2,1.0,1.0
Solver2,3x,4,2.0,0.6127632388329528
Solver2,4x,2,1.0,1.0
Solver2,4x,4,2.0,0.5256486535621293
Solver3,2x,2,1.0,1.0
Solver3,2x,4,2.0,0.44283395864235237
Solver3,3x,2,1.0,1.0
Solver3,3x,4,2.0,0.651674031271244
Solver3,4x,2,1.0,1.0
Solver3,4x,4,2.0,0.546103975772134
Solver4,2x,2,1.0,1.0
Solver4,2x,4,2.0,0.5837499900307231
Solver4,3x,2,1.0,1.0
Solver4,3x,4,2.0,0.5783006937283417
Solver4,4x,2,1.0,1.0
Solver4,4x,4,2.0,0.6236612157457563
Solver5,2x,2,1.0,1.0
Solver5,2x,4,2.0,0.5737199085344046
Solver5,3x,2,1.0,1.0
Solver5,3x,4,2.0,0.6661064361003415
Solver5,4x,2,1.0,1.0
Solver5,4x,4,2.0,0.6206197469180541
