solver,partition_multiplier,workers,speedup
Solver1,2x,3,0.9006273648643366
Solver1,2x,4,0.9791339492701895
Solver1,3x,3,1.3689250043943222
Solver1,3x,4,1.3352170787913227
Solver1,4x,3,1.07120372781413
Solver1,4x,4,1.3154611553155577
Solver2,2x,3,0.9130818678086278
Solver2,2x,4,0.9389235528246709
Solver2,3x,3,1.3727300370577606
Solver2,3x,4,1.3272379601706632
Solver2,4x,3,1.137031900740241
Solver2,4x,4,1.4842676940671584
Solver3,2x,3,0.9531338759012454
Solver3,2x,4,0.9740694344109362
Solver3,3x,3,1.3630772426609747
Solver3,3x,4,1.3657629618868283
Solver3,4x,3,1.06980382900161
Solver3,4x,4,1.3096910025388566
Solver4,2x,3,1.0909839099181537
Solver4,2x,4,1.244580729186347
Solver4,3x,3,1.274931438665033
Solver4,3x,4,1.3815674757788876
Solver4,4x,3,1.2818975418511491
Solver4,4x,4,1.6945030346006715
Solver5,2x,3,1.0137639979242787
Solver5,2x,4,1.187830489833573
Solver5,3x,3,1.4733123104709167
Solver5,3x,4,1.6628883992569339
Solver5,4x,3,1.1470249481014092
Solver5,4x,4,1.4341988501764529
